taxon_id,output_column,value,previous_value,value_origin,value_origin_zh,source_id_used,candidate_ids_used,review_decision_ids_used
Sinanodonta_sp.,voltinism__semivoltine_lt_1_generation_per_year,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539; korean_stream_macroinvertebrate_v1_2,CAND_SINANODONTA_SP_P0_003; CAND_SINANODONTA_SP_FULL_017,RGD-0054; RGD-0068
Sinanodonta_sp.,voltinism__univoltine_1_generation_per_year,,,missing,仍缺失,,,
Sinanodonta_sp.,voltinism__multivoltine_gt_1_generation_per_year,,,missing,仍缺失,,,
Sinanodonta_sp.,fertilization_mode__internal,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,fertilization_mode__external,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,oviposition_mode__egg_mass,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,oviposition_mode__ovoviviparity,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Sinanodonta_sp.,oviposition_mode__soft_chorion,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,max_size_coarse__lt_10mm,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,max_size_coarse__ge_approx_10mm,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,shape_S1_streamlined,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,shape_S2_non_streamlined,2,2,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,armour_AR1_none,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,armour_AR2_weak,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,armour_AR3_strong,2,2,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,locomotion__burrower_interstitial,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,locomotion__crawler_climber_sprawler,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,locomotion__clinger,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,feeding_group__collector_gatherer,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,feeding_group__collector_filterer,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,feeding_group__scraper_grazer,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,feeding_group__shredder,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,feeding_group__predator_piercer,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,feeding_group__parasite,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,respiration__integument,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,respiration__gill,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,respiration__aerial_any,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,dispersal_mode__aquatic_passive,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,dispersal_mode__terrestrial_passive,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,dispersal_mode__terrestrial_active,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,aquatic_stage__egg_larva_aquatic,2,2,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,aquatic_stage__fully_aquatic,2,2,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,sexual_maturity_duration__short,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,sexual_maturity_duration__long,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,life_span_bin__le_1yr,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,life_span_bin__gt_1yr,2,2,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,voltinism__semivoltine_lt_1_generation_per_year,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,voltinism__univoltine_1_generation_per_year,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,voltinism__multivoltine_gt_1_generation_per_year,2,2,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Pseudovivipara_sp.,fertilization_mode__internal,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,fertilization_mode__external,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,oviposition_mode__egg_mass,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,oviposition_mode__ovoviviparity,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Pseudovivipara_sp.,oviposition_mode__soft_chorion,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,max_size_coarse__lt_10mm,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,max_size_coarse__ge_approx_10mm,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,shape_S1_streamlined,,,missing,仍缺失,,,
Glyptotendipes_sp.,shape_S2_non_streamlined,,,missing,仍缺失,,,
Glyptotendipes_sp.,armour_AR1_none,,,missing,仍缺失,,,
Glyptotendipes_sp.,armour_AR2_weak,,,missing,仍缺失,,,
Glyptotendipes_sp.,armour_AR3_strong,,,missing,仍缺失,,,
Glyptotendipes_sp.,locomotion__burrower_interstitial,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,locomotion__crawler_climber_sprawler,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,locomotion__clinger,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,feeding_group__collector_gatherer,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,feeding_group__collector_filterer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,feeding_group__scraper_grazer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,feeding_group__shredder,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,feeding_group__predator_piercer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,feeding_group__parasite,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539,CAND_GLYPTO_SMOKE_006,RGD-0018
Glyptotendipes_sp.,respiration__integument,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,respiration__gill,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,respiration__aerial_any,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,dispersal_mode__aquatic_passive,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,dispersal_mode__terrestrial_passive,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,dispersal_mode__terrestrial_active,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,aquatic_stage__egg_larva_aquatic,3,,reviewed_trait_gap_completion,本轮审定缺值检索补值,baek_2014_en14052,CAND_GLYPTO_SMOKE_007,RGD-0019
Glyptotendipes_sp.,aquatic_stage__fully_aquatic,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,baek_2014_en14052,CAND_GLYPTO_SMOKE_008,RGD-0020
Glyptotendipes_sp.,sexual_maturity_duration__short,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,sexual_maturity_duration__long,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,life_span_bin__le_1yr,3,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539; baek_2014_en14052,CAND_GLYPTO_SMOKE_001; CAND_GLYPTO_SMOKE_009,RGD-0013; RGD-0021
Glyptotendipes_sp.,life_span_bin__gt_1yr,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539; baek_2014_en14052,CAND_GLYPTO_SMOKE_002; CAND_GLYPTO_SMOKE_010,RGD-0014; RGD-0022
Glyptotendipes_sp.,voltinism__semivoltine_lt_1_generation_per_year,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539,CAND_GLYPTO_SMOKE_003,RGD-0015
Glyptotendipes_sp.,voltinism__univoltine_1_generation_per_year,0,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539,CAND_GLYPTO_SMOKE_004,RGD-0016
Glyptotendipes_sp.,voltinism__multivoltine_gt_1_generation_per_year,3,,reviewed_trait_gap_completion,本轮审定缺值检索补值,fu_2022_fevo922539,CAND_GLYPTO_SMOKE_005,RGD-0017
Glyptotendipes_sp.,fertilization_mode__internal,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,fertilization_mode__external,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,oviposition_mode__egg_mass,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,oviposition_mode__ovoviviparity,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Glyptotendipes_sp.,oviposition_mode__soft_chorion,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,max_size_coarse__lt_10mm,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,max_size_coarse__ge_approx_10mm,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,shape_S1_streamlined,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,shape_S2_non_streamlined,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,armour_AR1_none,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,armour_AR2_weak,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,armour_AR3_strong,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,locomotion__burrower_interstitial,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,locomotion__crawler_climber_sprawler,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,locomotion__clinger,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,feeding_group__collector_gatherer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,feeding_group__collector_filterer,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,feeding_group__scraper_grazer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,feeding_group__shredder,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,feeding_group__predator_piercer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,feeding_group__parasite,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,respiration__integument,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,respiration__gill,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,respiration__aerial_any,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,dispersal_mode__aquatic_passive,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,dispersal_mode__terrestrial_passive,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,dispersal_mode__terrestrial_active,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,aquatic_stage__egg_larva_aquatic,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,aquatic_stage__fully_aquatic,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,sexual_maturity_duration__short,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,sexual_maturity_duration__long,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,life_span_bin__le_1yr,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,life_span_bin__gt_1yr,3,3,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,voltinism__semivoltine_lt_1_generation_per_year,0,0,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,voltinism__univoltine_1_generation_per_year,2,2,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,voltinism__multivoltine_gt_1_generation_per_year,1,1,previous_merge_run,上一轮合并矩阵已有值,korean_stream_macroinvertebrate_v1_2,,
Lamprotula_sp.,fertilization_mode__internal,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,fertilization_mode__external,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,oviposition_mode__egg_mass,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,oviposition_mode__ovoviviparity,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Lamprotula_sp.,oviposition_mode__soft_chorion,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Rivularia_sp.,max_size_coarse__lt_10mm,0,0,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0062
Rivularia_sp.,max_size_coarse__ge_approx_10mm,1,1,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0061
Rivularia_sp.,shape_S1_streamlined,,,missing,仍缺失,,,
Rivularia_sp.,shape_S2_non_streamlined,,,missing,仍缺失,,,
Rivularia_sp.,armour_AR1_none,0,0,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0054
Rivularia_sp.,armour_AR2_weak,0,0,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0055
Rivularia_sp.,armour_AR3_strong,3,3,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0056
Rivularia_sp.,locomotion__burrower_interstitial,0,0,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0057
Rivularia_sp.,locomotion__crawler_climber_sprawler,1,1,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0059
Rivularia_sp.,locomotion__clinger,0,0,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0058
Rivularia_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,0,previous_merge_run,上一轮合并矩阵已有值,eol_traitbank_4pages,,FRD-0060
Rivularia_sp.,feeding_group__collector_gatherer,,,missing,仍缺失,,,
Rivularia_sp.,feeding_group__collector_filterer,,,missing,仍缺失,,,
Rivularia_sp.,feeding_group__scraper_grazer,,,missing,仍缺失,,,
Rivularia_sp.,feeding_group__shredder,,,missing,仍缺失,,,
Rivularia_sp.,feeding_group__predator_piercer,,,missing,仍缺失,,,
Rivularia_sp.,feeding_group__parasite,,,missing,仍缺失,,,
Rivularia_sp.,respiration__integument,,,missing,仍缺失,,,
Rivularia_sp.,respiration__gill,,,missing,仍缺失,,,
Rivularia_sp.,respiration__aerial_any,,,missing,仍缺失,,,
Rivularia_sp.,dispersal_mode__aquatic_passive,,,missing,仍缺失,,,
Rivularia_sp.,dispersal_mode__terrestrial_passive,,,missing,仍缺失,,,
Rivularia_sp.,dispersal_mode__terrestrial_active,,,missing,仍缺失,,,
Rivularia_sp.,aquatic_stage__egg_larva_aquatic,,,missing,仍缺失,,,
Rivularia_sp.,aquatic_stage__fully_aquatic,,,missing,仍缺失,,,
Rivularia_sp.,sexual_maturity_duration__short,,,missing,仍缺失,,,
Rivularia_sp.,sexual_maturity_duration__long,,,missing,仍缺失,,,
Rivularia_sp.,life_span_bin__le_1yr,,,missing,仍缺失,,,
Rivularia_sp.,life_span_bin__gt_1yr,,,missing,仍缺失,,,
Rivularia_sp.,voltinism__semivoltine_lt_1_generation_per_year,,,missing,仍缺失,,,
Rivularia_sp.,voltinism__univoltine_1_generation_per_year,,,missing,仍缺失,,,
Rivularia_sp.,voltinism__multivoltine_gt_1_generation_per_year,,,missing,仍缺失,,,
Rivularia_sp.,fertilization_mode__internal,,,missing,仍缺失,,,
Rivularia_sp.,fertilization_mode__external,,,missing,仍缺失,,,
Rivularia_sp.,oviposition_mode__egg_mass,,,missing,仍缺失,,,
Rivularia_sp.,oviposition_mode__ovoviviparity,,,missing,仍缺失,,,
Rivularia_sp.,oviposition_mode__soft_chorion,,,missing,仍缺失,,,
Dicrotendipes_sp.,max_size_coarse__lt_10mm,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Dicrotendipes_sp.,max_size_coarse__ge_approx_10mm,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Dicrotendipes_sp.,shape_S1_streamlined,,,missing,仍缺失,,,
Dicrotendipes_sp.,shape_S2_non_streamlined,,,missing,仍缺失,,,
Dicrotendipes_sp.,armour_AR1_none,,,missing,仍缺失,,,
Dicrotendipes_sp.,armour_AR2_weak,,,missing,仍缺失,,,
Dicrotendipes_sp.,armour_AR3_strong,,,missing,仍缺失,,,
Dicrotendipes_sp.,locomotion__burrower_interstitial,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Dicrotendipes_sp.,locomotion__crawler_climber_sprawler,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Dicrotendipes_sp.,locomotion__clinger,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Dicrotendipes_sp.,locomotion__mobile_swimmer_planktonic_skater_flier,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Dicrotendipes_sp.,feeding_group__collector_gatherer,1,1,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
Dicrotendipes_sp.,feeding_group__collector_filterer,0,0,previous_merge_run,上一轮合并矩阵已有值,dryad_qrfj6q5nh_v20240304,,
