evidence_id,source_id,citation_or_label,doi_or_url,accessed_at,source_taxon_name,match_resolution,authenticity_status,evidence_detail_zh
EV_FU2022_POLYPEDILUM_SP_001,fu_2022_fevo922539,"Fu et al. 2022, Supplementary Table 2",10.3389/fevo.2022.922539,2026-05-12,Polypedilum sp.,GO,clear,补充表 Table 2 对来源分类单元 Polypedilum sp. 给出二元功能性状编码；匹配分辨率为 GO 开放属。
EV_TANG2014_POLYPEDILUM_MASUDAI_IMMATURE_001,tang_2014_polypedilum_masudai_immature,The immature stages of Polypedilum nodosum and Polypedilum masudai,10.11646/zootaxa.3893.3.6,2026-05-12,Polypedilum masudai,OS,clear,开放摘要说明 P. masudai 幼虫和蛹基于中国材料被完整描述，材料来自水体/底质并有饲养关联。
EV_EOL_POLYPEDILUM_SCALAENUM_FFG_001,eol_polypedilum_scalaenum_20260512,EOL Polypedilum scalaenum data page,https://eol.org/pages/744933,2026-05-12,Polypedilum scalaenum,OS,clear,EOL 数据页列出 trophic guild 为 suspension feeder，并有 developmental mode、tubicolous 等结构化属性。
EV_GALIZZI2012_POLYPEDILUM_FFG_001,galizzi_2012_chironomidae_diet,Diet and functional feeding groups of Chironomidae in the Middle Paraná River floodplain,10.1590/S0073-47212012000200001,2026-05-12,Polypedilum (Tripodura) sp.,GO,clear,摘要说明 Polypedilum (Tripodura) sp. 以无定形碎屑等为主要食物，属于非寄生性食性线索。
EV_FU2022_PROCLADIUS_SP_001,fu_2022_fevo922539,"Fu et al. 2022, Supplementary Table 2",10.3389/fevo.2022.922539,2026-05-12,Procladius sp.,GO,clear,补充表 Table 2 对来源分类单元 Procladius sp. 给出二元功能性状编码；匹配分辨率为 GO 开放属。
EV_SPECZIAR2008_PROCLADIUS_CHOREUS_LIFE_001,specziar_2008_procladius_life_history,"Life history patterns of Procladius choreus, Tanypus punctipennis and Chironomus balatonicus in Lake Balaton",10.1051/limn:2008002,2026-05-12,Procladius choreus,OS,clear,摘要报告 P. choreus 在 Lake Balaton 研究期有两代/年且至少两个平行 cohort。
EV_EOL_PROCLADIUS_CHOREUS_FFG_001,eol_procladius_choreus_20260512,EOL Procladius choreus data page,https://eol.org/pages/717075,2026-05-12,Procladius choreus,OS,clear,EOL 数据页列出 trophic guild 为 suspension feeder，并提供 habitat、developmental mode 等上下文。
EV_GALIZZI2012_PROCLADIUS_FFG_001,galizzi_2012_chironomidae_diet,Diet and functional feeding groups of Chironomidae in the Middle Paraná River floodplain,10.1590/S0073-47212012000200001,2026-05-12,Procladius sp.,GO,clear,摘要说明 Procladius sp. 幼虫肠道中动物组织为主要食物之一，作为捕食性而非寄生性线索。
EV_FU2022_SINANODONTA_SP_001,fu_2022_fevo922539,"Fu et al. 2022, Supplementary Table 2",10.3389/fevo.2022.922539,2026-05-12,Anodonta woodiana,OS,clear,补充表 Table 2 对来源分类单元 Anodonta woodiana 给出二元功能性状编码；匹配分辨率为 OS 原始种上卷。
EV_KOREAN_ANODONTA_GENUS_001,korean_stream_macroinvertebrate_v1_2,Macroinvertebrate functional trait database of South Korean stream,10.6084/m9.figshare.22010822 | 10.1038/s41597-023-02678-y,2026-05-12,Anodonta,OS,clear,本地已登记 Korean v1.2 原始 CSV 的 Anodonta 属级行提供 V/L/AS/S/AR/F6 等 Korean fuzzy 值；因来源已登记，本轮标记为 recheck candidate。
EV_DOUDA2024_SINANODONTA_LIFE_001,douda_2024_sinanodonta_review,Review of the globally invasive freshwater mussels in the genus Sinanodonta,10.1007/s10750-023-05457-3,2026-05-12,Sinanodonta woodiana s. str.,OS,clear,综述汇总 S. woodiana 生命周期、鱼寄生幼虫阶段、约 10-12 年最大寿命和淡水生活史。
